"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 12 10:47:23 GMT 2024","Sun May 12 10:47:27 GMT 2024","4064","","","","ProjectsTest","RemoveProjectTest","RemoveProjectTest",""
"failed","Sun May 12 10:47:13 GMT 2024","Sun May 12 10:47:20 GMT 2024","6766","","","","AddProjectTest","AddCorrectProjectTest","AddCorrectProjectTest",""
"passed","Sun May 12 10:47:20 GMT 2024","Sun May 12 10:47:23 GMT 2024","3340","","","","LoginTest","CorrectLogin","CorrectLogin",""
